,ht,nmt1,nmt2,penmt1,penmt2,pesmt1,pesmt2,pesmt3,smt1,smt2,smt3,src
10,"Bien sûr , en tant que terriens , nous savons que la raison serait que nous essayons de nous sauver .","Bien sûr , comme les terriens , nous savons que la raison serait que nous essayons de nous sauver .","Bien sûr , en tant que , nous savons que la raison serait que nous essayons de nous sauver nous-mêmes .","Bien sûr , en tant que terriens , nous savons que la raison serait que nous essayons de nous sauver .","Bien sûr , en tant que terriens , nous savons que la raison serait que nous essayons de nous sauver nous-mêmes .","Maintenant bien sûr , en tant qu&apos; humains , nous savons que la raison est que nous essayons de nous sauver .","Maintenant , bien sûr , en tant que terriens , nous savons que la raison serait que nous essayons de nous sauver .","Bien sûr , en tant que Terriens , nous savons que la raison serait que nous essayons de nous sauver .","Maintenant bien sûr , en tant qu&apos; humains , nous savons la raison serait que nous essayons de nous sauver .","Maintenant , bien sûr , que les terriens , nous savons que la raison serait que nous essayons de nous sauver .","Bien sûr , earthlings , nous savons que la raison serait que nous essayons de nous sauver .","Now of course , as earthlings , we know the reason would be that we &apos;re trying to save ourselves ."
11,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; éviter un impact .,On essaye d&apos; empêcher un impact .,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; empêcher un impact .,On essaye d&apos; empêcher un impact .,Nous essayons d&apos; éviter un impact .,Nous essayons d&apos; empêcher un impact .,We &apos;re trying to prevent an impact .
12,"Mais si vous êtes une race extra-terrestre qui ne sait rien de tout cela , qui n&apos; a aucune idée du concept d&apos; intelligence terrestre , vous seriez forcés de mettre en place une théorie physique qui explique comment , à partir d&apos; un certain point dans le temps , les astéroïdes qui démoliraient la surface d&apos; une planète en sont mystérieusement empêchés .","Mais si vous êtes une race extra-terrestre qui ne connait rien de cela , n&apos; a aucun concept de l&apos; intelligence de la Terre , vous seriez obligés de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , des astéroïdes qui démoliraient la surface d&apos; une planète mystérieusement s&apos; arrêter .","Mais si vous êtes une race étrangère qui ne connait rien de tout cela , n&apos; a aucune idée de l&apos; intelligence de la Terre , vous seriez obligé de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , des astéroïdes qui la surface d&apos; une planète s&apos; arrêtent mystérieusement de faire ça .","Mais si vous êtes une race extra-terrestre qui ne connait rien de cela , n&apos; a aucun concept de l&apos; intelligence de la Terre , vous seriez obligés de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , des astéroïdes qui démoliraient la surface d&apos; une planète s&apos; arrêtent mystérieusement .","Mais si vous appartenez à une race d&apos; extraterrestre qui ne connait rien de tout cela , qui ignore ce qu&apos; est l&apos; intelligence terrestre , vous serez obligé de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , des astéroïdes qui devraient démolir la surface d&apos; une planète arrêtent mystérieusement de le faire .","Mais si vous êtes un extraterrestre qui ne sait pas tout ça , qui n&apos; a pas de concept de l&apos; intelligence de la Terre , vous seriez obligé de rassembler une théorie physique qui expliquerait comment , jusqu &apos; à un certain point dans le temps , des astéroïdes qui pouvaient détruire la surface d&apos; une planète arrêtent mystérieusement de le faire .","Mais si vous êtes une race extraterrestre qui ne sait rien de tout cela , qui n&apos; a pas de concept d&apos; intelligence de la Terre , vous seriez obligés de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , des astéroïdes qui démolissaient la surface d&apos; une planète arrêtent mystérieusement de le faire .","Mais si vous appartenez à une race extra-terrestre qui ne sait rien de tout ça , n&apos; a aucune idée de l&apos; intelligence terrestre , vous serez obligé de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain moment , des astéroïdes qui pourraient détruire la surface d&apos; une planète arrêtent mystérieusement de le faire .","Mais si vous êtes une race extraterrestre qui ne sait pas tout ça , n&apos; a pas de concept d&apos; intelligence la Terre , vous seriez obligé de rassembler une théorie physique qui explique comment , jusqu &apos; à un certain point dans le temps , des astéroïdes qui pourraient détruire la surface d&apos; une planète mystérieusement arrête de faire ça .","Mais si vous êtes une race extraterrestre qui ne sait rien de tout cela , n&apos; a pas de concept d&apos; intelligence de la Terre , vous seriez obligé de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain point dans le temps , astéroïdes qui démolirait la surface d&apos; une planète arrêter mystérieusement faire .","Mais si vous êtes un extra-terrestre course qui ne sait pas tout ça , n&apos; a aucune idée de la Terre intelligence , vous seriez obligé de mettre en place une théorie physique qui explique comment , jusqu&apos; à un certain moment , astéroïdes qui pourrait détruire la surface d&apos; une planète mystérieusement arrêter ça .","But if you &apos;re an alien race who doesn &apos;t know any of this , doesn &apos;t have any concept of Earth intelligence , you &apos;d be forced to put together a physical theory that explains how , up until a certain point in time , asteroids that would demolish the surface of a planet mysteriously stop doing that ."
13,Je pense donc que c&apos; est la même question que celle qui consiste à comprendre la nature physique de l&apos; intelligence .,Et donc je prétends que c&apos; est la même question que de comprendre la nature physique de l&apos; intelligence .,Et donc je soutiens que c&apos; est la même question que de comprendre la nature physique de l&apos; intelligence .,Et donc je prétends que c&apos; est la même question que de comprendre la nature physique de l&apos; intelligence .,Et donc je soutiens que c&apos; est la même question que de comprendre la nature physique de l&apos; intelligence .,Et donc selon moi cette question est identique à celle qui se pose pour comprendre la nature physique de l&apos; intelligence .,Et je prétends que cette question est la même que la compréhension de la nature physique de l&apos; intelligence .,Et donc je pense que c&apos; est la même question que comprendre la nature physique de l&apos; intelligence .,Et donc j&apos; ai prétendent que c&apos; est la même question que la compréhension de la nature physique de l&apos; intelligence .,Et je prétends que cette question est la même que la compréhension de la nature physique de l&apos; intelligence .,Et donc je pense que c&apos; est la même question que comprendre la nature physique de l&apos; intelligence .,And so I claim that this is the same question as understanding the physical nature of intelligence .
14,"Et dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai étudié une variété de différents fils conducteurs à travers la science , à travers une multitude de disciplines , qui convergeaient , je le pense , vers un unique , mécanisme sous-jacent pour décrire l&apos; intelligence .","Dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai observé une variété de fils différents à travers la science , à travers une variété de disciplines , qui pointaient , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai étudié une variété de sujets différents à travers la science , à travers une variété de disciplines , qui , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai observé une variété de fils différents à travers la science , à travers une variété de disciplines , qui pointaient , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Dans ce programme que j&apos; ai donc entrepris il y a plusieurs années , j&apos; ai étudié une variété de différents sujets à travers la science , à travers une variété de disciplines , qui se dirigeaient , je pense , vers un seul mécanisme sous-jacent de l&apos; intelligence .","Donc dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai regardé une variété de différents fils à travers la science , à travers une variété de disciplines , qui pointaient , à mon avis , vers un seul mécanisme sous-jacent de l&apos; intelligence .","Donc , dans ce programme dans lequel je me suis engagé il y a plusieurs années , je regardais une variété de différentes discussions sur la science , dans toute une variété de disciplines , qui pointaient , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Donc dans ce programme que j&apos; ai commencé à élaborer il y a plusieurs années , j&apos; ai regardé différents sujets scientifiques et des sujets liés à d&apos; autres disciplines , qui convergeaient tous , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Donc dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai regardé une variété de différents fils à travers la science , à travers une variété de disciplines , qui ont été pointer , je pense , vers un seul mécanisme sous-jacent , pour l&apos; intelligence .","Donc , dans ce programme que je me suis engagé il y a plusieurs années , je regardais une variété de différentes discussions sur la science , à travers une variété de disciplines , qui ont été pointe , je pense , vers un seul mécanisme sous-jacent pour l&apos; intelligence .","Donc dans ce programme que j&apos; ai entrepris il y a plusieurs années , j&apos; ai regardé différents sujets à travers la science , à travers une variété de disciplines , qui étaient pointant , je pense , vers une seule mécanisme sous-jacent pour l&apos; intelligence .","So in this program that I undertook several years ago , I looked at a variety of different threads across science , across a variety of disciplines , that were pointing , I think , towards a single , underlying mechanism for intelligence ."
15,"De cette façon , parlant de tous ces différents sujets et les mettant ensemble , je me suis demandé , il y a quelques années , s&apos; il y avait un mécanisme sous-jacent à l&apos; intelligence que nous pourrions tirer de tous ces différents sujets ?","Et donc , prendre tous ces fils différents et les assembler , j&apos; ai demandé , en commençant il y a plusieurs années , y a-t-il un mécanisme sous-jacent pour l&apos; intelligence que nous pouvons factoriser de tous ces différents fils ?","Et donc , prendre tous ces différents fils et les mettre ensemble , j&apos; ai demandé , il y a plusieurs années , y a-t-il un mécanisme sous-jacent pour l&apos; intelligence que nous pouvons tirer de tous ces différents fils ?","Et donc , en prenant tous ces fils différents et en les regroupant , je me suis demandé , il y a plusieurs années , y a-t-il un mécanisme sous-jacent de l&apos; intelligence que nous pouvons factoriser de tous ces différents fils ?","Et donc , prenant tous ces différents fils et les mettant ensemble , j&apos; ai demandé , il y a plusieurs années , y a-t-il un mécanisme sous-jacent pour l&apos; intelligence que nous pouvons tirer de tous ces différents fils ?","Et donc , ces différentes notions , en les prenant et en les mettant ensemble , je me suis demandé , il y a plusieurs années , y a-t-il un mécanisme sous-jacent pour l&apos; intelligence que nous pouvons exclure de ces différentes notions ?","Et donc , en considérant tous ces différents sujets et en les rassemblant , je me suis demandé , il y a plusieurs années , s&apos; il y avait un mécanisme sous-jacent de l&apos; intelligence que nous pouvons prendre en compte pour tous ces différents sujets ?","Et donc , en prenant tous ces sujets différents et en les associant , je me suis demandé , il y a plusieurs années déjà , si on pouvait dégager à partir de tous ces sujets un mécanisme sous-jacent de l&apos; intelligence ?","Et donc , ces différentes notions , de prendre et de les mettre ensemble , j&apos; ai demandé , il y a plusieurs années , y a-t-il un mécanisme sous-jacent pour intelligence que nous pouvons facteur hors de ces différentes notions , de faire ?","Et donc , en prenant tous ces différents fils et de les mettre ensemble , j&apos; ai demandé , à partir il y a plusieurs années , est-il un mécanisme sous-jacent pour l&apos; intelligence que nous pouvons tenir compte de tous ces différents fils ?","Et donc , toutes ces différentes fils et les mettre ensemble , j&apos; ai demandé , il y a plusieurs années , il y a une intelligence pour que nous puissions facteur de tous ces différents fils ?","And so , taking all of these different threads and putting them together , I asked , starting several years ago , is there an underlying mechanism for intelligence that we can factor out of all of these different threads ?"
16,Y a-t-il une équation unique pour l&apos; intelligence ?,Y a-t-il une seule équation pour l&apos; intelligence ?,Y a-t-il une seule équation pour l&apos; intelligence ?,Y a-t-il une seule équation de l&apos; intelligence ?,Y a-t-il une seule équation pour l&apos; intelligence ?,Y a-t-il une seule équation pour l&apos; intelligence ?,Y a-t-il une seule équation de l&apos; intelligence ?,Existe-t-il une seule équation pour l&apos; intelligence ?,Y a-t-il une seule équation pour l&apos; intelligence ?,Y at-il une seule équation pour le renseignement ?,Existe-t-il une seule équation de intelligence ?,Is there a single equation for intelligence ?
17,"Et la réponse , je pense , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement le plus proche équivalent à un E = mc ² pour l&apos; intelligence que j&apos; ai jamais vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T &quot; &#93; Ce que vous voyez est probablement l&apos; équivalent le plus proche d&apos; un E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T &quot; &#93; Ce que vous voyez est probablement l&apos; équivalent le plus proche d&apos; un E = ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement l&apos; équivalent le plus proche d&apos; un E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et j&apos; estime que la réponse est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; D&apos; après mes constatations , vous êtes probablement en train d&apos; observer ce qui se rapproche le plus d&apos; un E = mc ² pour l&apos; intelligence .","Et la réponse est , je crois , oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est sans doute le plus proche équivalent de E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement le plus proche équivalent à un E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement le plus proche équivalent d&apos; un E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse est , je crois , oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est sans doute le plus proche un équivalent à E = mc ² pour l&apos; intelligence que j&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement le plus proche équivalent à un E = mc ² pour l&apos; intelligence que je l&apos; ai vu .","Et la réponse , je crois , est oui . &#91; &quot; F = T ∇ Sτ &quot; &#93; Ce que vous voyez est probablement le plus proche équivalente à un E = mc ² pour l&apos; intelligence que j&apos; ai vu .","And the answer , I believe , is yes . &#91; &quot; F = T ∇ Sτ &quot; &#93; What you &apos;re seeing is probably the closest equivalent to an E = mc ² for intelligence that I &apos;ve seen ."
18,"Ce que vous voyez ici est l&apos; assertion que l&apos; intelligence est une force , F , qui agit de façon à maximiser la capacité d&apos; action future .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit afin de maximiser la liberté future d&apos; action .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit afin de maximiser la liberté de l&apos; action .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit afin de maximiser la liberté d&apos; action future .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit afin de maximiser la liberté de l&apos; action .","Donc ce que vous voyez ici est une déclaration de correspondance où l&apos; intelligence est une force , F , qui agit de manière à maximiser une liberté d&apos; action futur .","Donc , vous êtes actuellement en train de regarder l&apos; illustration que l&apos; intelligence est une force , F , qui agit de manière à maximiser l&apos; autonomie de l&apos; action future .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit pour maximiser la future liberté d&apos; action .","Donc ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit de manière à maximiser futur la liberté d&apos; action .","Donc , ce que vous voyez ici est une déclaration de la correspondance que l&apos; intelligence est une force , F , qui agit de manière à maximiser la liberté d&apos; action future .","Ce que vous voyez ici est une déclaration de correspondance que l&apos; intelligence est une force , F , qui agit pour maximiser futur liberté d&apos; action .","So what you &apos;re seeing here is a statement of correspondence that intelligence is a force , F , that acts so as to maximize future freedom of action ."
19,"Elle agit de façon à maximiser la capacité d&apos; action future , ou encore elle garde le maximum d&apos; options possibles , avec une certaine vigueur puissance T , avec la diversité de futurs accessibles possibles , S , jusqu&apos; à un horizon temporel futur , tau .","Il agit pour maximiser la liberté future d&apos; action , ou garder les options ouvertes , avec une certaine force T , avec la diversité des futurs futurs accessibles , S , jusqu&apos; à un avenir de temps futur , tau .","Il agit pour maximiser la liberté future de l&apos; action , ou garder les options ouvertes , avec une certaine force T , avec la diversité des futurs accessibles , et , jusqu&apos; à un avenir lointain , des tau .","Elle agit pour maximiser la future liberté d&apos; action , ou garder ses options ouvertes , avec une certaine force T , avec la diversité des futurs possibles accessibles , S , jusqu&apos; à un horizon de temps futur , tau .","Elle agit pour maximiser l&apos; autonomie de l&apos; action future , ou garder les options ouvertes , avec la force T , avec une diversité de futurs accessibles , et , jusqu&apos; à un avenir lointain , tau .","Elle agit de manière à maximiser la liberté d&apos; action futur , ou à garder des options ouvertes , avec de la force T , avec la diversité des futurs possible accessible , S , jusqu&apos; à un certain horizon dans un temps futur , tau .","Elle agit pour maximiser la liberté d&apos; action future , ou pour garder des options ouvertes , avec une certaine force T , avec la diversité des futurs possibles accessibles , S , jusqu&apos; à un certain horizon temporel futur , tau .","Elle agit pour maximiser la liberté d&apos; action future , ou pour garder les options disponibles , avec une force T , avec la diversité de futurs possibles , S , jusqu&apos; à un horizon futur , tau .","Il agit de manière à maximiser futur la liberté d&apos; action , ou garder options ouvertes , avec quelques force T , avec la diversité des possible accessible avenirs , S , jusqu &apos; à un certain moment dans l&apos; avenir horizon , tau .","Il agit pour maximiser la liberté d&apos; action future , ou de garder les options ouvertes , avec une certaine force T , avec la diversité des futurs possibles accessibles , S , jusqu&apos; à un certain horizon temporel futur , tau .","Elle agit à maximiser futur liberté d&apos; action , ou garder options ouvert , avec une force T , avec la diversité de futurs possibles , S , jusqu&apos; à l&apos; avenir horizon , tau .","It acts to maximize future freedom of action , or keep options open , with some strength T , with the diversity of possible accessible futures , S , up to some future time horizon , tau ."
